Geo_ID,Midblock,Year,All_Motorized_Vehicles_AADT_24_,X,Y,Lat,Long,ObjectId
__3ZA3M5,TRIM RD btwn HENN DR & NAVAN RD (__3ZA3M5),2022,3073,388607.3015,5032253.518,45.425194,-75.42903,1
__3ZA1D8,TRIM RD btwn NAVAN RD & WALL RD (__3ZA1D8),2022,5892,388094.0862,5033522.439,45.436672,-75.435372,2
__3ZA5N6,EDEN AVE btwn LINCOLN AVE & RICHMOND RD (__3ZA5N6),2022,167,363356.5137,5028302.958,45.392218,-75.752144,3
__3ZAAT1,PARKGLEN DR btwn ANDOVER PL & PARKGLEN CRT (__3ZAAT1),2022,773,363153.4796,5023246.708,45.346739,-75.755334,4
__3ZA538,BENLEA DR btwn KIDGROVE GDN & WOODFIELD DR (__3ZA538),2022,612,363819.6358,5021718.338,45.332931,-75.747016,5
__3ZA4A4,EDGEWOOD AVE btwn LINCOLN AVE & RICHMOND RD (__3ZA4A4),2022,279,363421.1471,5028338.911,45.392536,-75.751314,6
__3ZA4A3,LINCOLN AVE btwn EDEN AVE & END (__3ZA4A3),2022,164,363331.1906,5028222.55,45.391496,-75.752477,7
__3ZAAUZ,WITHROW AVE btwn RUTHERFORD ST & SUFFOLK ST (__3ZAAUZ),2022,550,363493.5251,5023565.901,45.349583,-75.750957,8
__3ZA36T,RIVERSIDE DR btwn BAYPORT PRIV & MOONEY'S BAY PL (__3ZA36T),2022,23510,368334.3798,5025380.891,45.365492,-75.688951,9
__3ZAAV4,CHESTERTON DR btwn MULVAGH AVE & SOUTHVIEW CRES (__3ZAAV4),2022,3997,365246.6724,5023884.479,45.3523,-75.728547,10
__3ZA57I,KATHLEEN CRES btwn AMY ST & RANDALL JAMES DR (__3ZA57I),2022,457,351237.6295,5014429.625,45.268291,-75.908213,11
__3ZA5UX,LONGLEAF DR btwn GLADEWOODS PL & PINEGLADE CRES (__3ZA5UX),2022,2049,380626.0903,5033980.066,45.441639,-75.53074,12
__3ZA8XS,CRICHTON ST btwn DUFFERIN RD & KEEFER ST (__3ZA8XS),2022,1731,368582.2025,5033679.597,45.440138,-75.684715,13
__3ZBN6N,PICCADILLY AVE btwn BASSETT LANE & PERTHSHIRE PRIV (__3ZBN6N),2022,326,364285.0995,5028766.075,45.396307,-75.74023,14
__3ZAAIU,ARMSTRONG ST btwn GARLAND ST & MERTON ST (__3ZAAIU),2022,1051,365518.294,5029776.134,45.405289,-75.724356,15
__3ZAAJK,LADOUCEUR ST btwn GARLAND ST & MERTON ST (__3ZAAJK),2022,260,365469.6511,5029836.706,45.405838,-75.72497,16
__3ZA9H9,PLEASANT PARK RD btwn CABOT ST & RIVERSIDE DR (__3ZA9H9),2022,3665,369623.0713,5028417.652,45.392698,-75.672103,17
__3ZA0G2,ARMSTRONG ST btwn HINCHEY AVE & PARKDALE AVE (__3ZA0G2),2022,1686,365164.7078,5029435.399,45.402254,-75.728914,18
__7NLO9P,MAYFAIR AVE btwn DALKEITH PRIV & WELLINGTON ST W (__7NLO9P),2022,209,364329.1906,5028890.864,45.397426,-75.739652,19
__3ZA9WG,REVELSTOKE DR btwn KAMLOOPS AVE & RIVERSIDE DR (__3ZA9WG),2022,757,368108.7563,5024382.463,45.356529,-75.691959,20
__3ZA9DR,KAMLOOPS AVE btwn DOROTHEA DR & REVELSTOKE DR (__3ZA9DR),2022,346,367979.434,5024251.535,45.355362,-75.693626,21
__3ZA9GR,SOUTHMORE DR    E btwn LINTON RD & THORNDALE DR (__3ZA9GR),2022,575,369791.2211,5025198.023,45.363713,-75.67038,22
__3ZACJZ,MARTIN ST btwn COCKBURN ST & KING ST (__3ZACJZ),2022,232,357295.1176,5006197.348,45.193789,-75.831891,23
__4V3I6X,AQUAVIEW DR btwn CLERMONT CRES & CLERMONT CRES (__4V3I6X),2022,1113,385491.1277,5035937.97,45.45871,-75.46824,24
__3ZAYG3,PORTOBELLO BLVD btwn CHAREST WAY & SCALA AVE (__3ZAYG3),2022,4272,385612.3118,5036493.954,45.463698,-75.4666,25
__8XI21B,STORMWIND AVE btwn PORTOBELLO BLVD & TERRAPIN TERR (__8XI21B),2022,1712,385796.5515,5035112.848,45.451251,-75.464472,26
__8IAXFZ,PORTOBELLO BLVD btwn SUMMER DAYS WALK/STORMWIND AVE & SUMMER SKY ST (__8IAXFZ),2022,817,385942.0625,5035039.197,45.450572,-75.462624,27
__4LKB1C,SCALA AVE btwn MELETTE CRES & MELETTE CRES (__4LKB1C),2022,953,385517.522,5036333.592,45.462267,-75.467838,28
__4LK0RA,SCALA AVE btwn NEWCARLISLE CRES & SWALLOWTAIL CRES (__4LK0RA),2022,1286,385968.6098,5036594.862,45.464565,-75.462028,29
__5Z1RRW,LAKERIDGE DR btwn BRANTHAVEN ST & GOLDENBROOK WAY (__5Z1RRW),2022,734,384982.4421,5034724.728,45.447853,-75.474941,30
__3ZACEX,PORTOBELLO BLVD btwn AQUAVIEW DR & CAPREOL ST (__3ZACEX),2022,2883,385675.4177,5035833.91,45.457753,-75.465901,31
__3ZACEQ,NANTES ST btwn BEROT LANE & BRIANNA WAY (__3ZACEQ),2022,881,385938.0819,5036000.306,45.459219,-75.462516,32
__4V7SWX,MILLENNIUM BLVD btwn END & TRIM RD (__4V7SWX),2022,1090,387015.8368,5036800.946,45.466297,-75.448604,33
__3ZAAIK,KEYWORTH AVE btwn CLEARVIEW AVE & PONTIAC ST (__3ZAAIK),2022,167,363737.9276,5029641.959,45.404234,-75.747113,34
__3ZA0RW,COLDREY AVE btwn KENZIE ST & MERIVALE RD (__3ZA0RW),2022,1114,364705.1012,5027284.799,45.382942,-75.735046,35
__3ZA0YS,JAVA ST btwn CLARENDON AVE & MAYFAIR AVE (__3ZA0YS),2022,178,364586.6955,5028579.553,45.394603,-75.736401,36
__3ZA4QN,GLADSTONE AVE btwn BEVERLEY AVE & PARKDALE AVE (__3ZA4QN),2022,4641,365301.4286,5029156.003,45.399728,-75.727202,37
__3ZA07T,SWITZER AVE btwn END & KIRKWOOD AVE (__3ZA07T),2022,127,364140.1946,5027546.044,45.385341,-75.742227,38
__3ZA0K8,IONA ST btwn CLARENDON AVE & MAYFAIR AVE (__3ZA0K8),2022,384,364618.6955,5028506.053,45.393938,-75.736001,39
__3ZA4PK,PARKDALE AVE btwn HWY417 IC122 RAMP51 & SHERWOOD DR (__3ZA4PK),2022,9806,365358.6989,5028795.555,45.39648,-75.726515,40
__3ZA01L,HARMER AVE   N btwn JAVA ST & KENORA ST (__3ZA01L),2022,657,364916.697,5028767.055,45.396261,-75.732163,41
__3ZA0OU,COLDREY AVE btwn KIRKWOOD AVE & LAPERRIERE AVE (__3ZA0OU),2022,896,364276.4382,5027018.196,45.38058,-75.740551,42
__3ZA4PY,HOLLAND AVE btwn BYRON AVE & WELLINGTON ST W (__3ZA4PY),2022,7068,364972.197,5029056.057,45.398857,-75.731419,43
__3ZAZV9,VARENNES BLVD btwn COMO CRES & SHEENBORO CRES (__3ZAZV9),2022,2991,385030.1624,5038104.991,45.47826,-75.47378,44
__3ZA5UM,PRINCESS LOUISE DR btwn DEANCOURT CRES & HANCOCK CRES (1) (__3ZA5UM),2022,3579,384070.1041,5038225.727,45.479456,-75.486038,45
__3ZA6XA,MERKLEY DR btwn APOLLO WAY & WILKIE DR (__3ZA6XA),2022,2455,383849.7559,5037464.572,45.472633,-75.488979,46
__3ZA6B0,WILKIE DR btwn CAMINITI CRES & CAMINITI CRES (__3ZA6B0),2022,459,384346.2581,5037530.57,45.47317,-75.482619,47
__3ZAZ61,TEMPO ST btwn DUPLANTE AVE & LAUNAY AVE (__3ZAZ61),2022,934,385080.4719,5038335.284,45.480326,-75.473099,48
__3ZA1VQ,DEANCOURT CRES btwn BRIARFIELD CRES & PRINCESS LOUISE DR (1) (__3ZA1VQ),2022,704,383962.305,5038216.92,45.479389,-75.487418,49
__58PEVH,PROVENCE AVE btwn BALLANTYNE DR & MULDER AVE (__58PEVH),2022,2456,386073.8596,5037209.62,45.470084,-75.46058,50
__3ZA5UA,NORTHLANDS DR btwn SACRAMENTO DR & SUNLAND DR (__3ZA5UA),2022,1908,384864.3769,5037159.392,45.469771,-75.476054,51
__3ZA5ST,GARDENWAY DR btwn LATOUR CRES & OAKLAWN CRES (__3ZA5ST),2022,2287,384063.7595,5036728.565,45.465987,-75.486361,52
__3ZA189,PORTOBELLO BLVD btwn GARDENWAY DR & VALIN ST (__3ZA189),2022,6404,385322.6502,5037500.298,45.472786,-75.470138,53
__3ZA0RC,ADMIRAL AVE btwn ANNA AVE & CRERAR AVE (__3ZA0RC),2022,410,365143.944,5027390.568,45.383856,-75.729429,54
__3ZAALI,INVERNESS AVE btwn GOODWIN AVE & NORMANDY CRES (__3ZAALI),2022,741,366483.2235,5024633.966,45.358937,-75.712673,55
__3ZA0RU,ANNA AVE btwn ADMIRAL AVE & MARSHALL AVE (__3ZA0RU),2022,757,365067.7713,5027213.825,45.382273,-75.730424,56
__3ZA36P,PRINCE OF WALES DR btwn FALAISE RD (1) & NORMANDY CRES (__3ZA36P),2022,13135,367481.0712,5024728.216,45.359696,-75.699926,57
__3ZAAP9,CORAL AVE btwn BARLYN AVE & TWIN TER (__3ZAAP9),2022,308,365773.7019,5025432.025,45.366179,-75.72163,58
__3ZAAQW,ARNOT RD btwn DYNES RD & FISHER AVE (__3ZAAQW),2022,225,366450.7062,5025585.733,45.367503,-75.712969,59
__3ZA0CP,FALAISE RD btwn CLAYMOR AVE & SENIO AVE (__3ZA0CP),2022,966,367294.2101,5024850.521,45.360813,-75.702295,60
__3ZAAPL,BARLYN AVE btwn CORAL AVE & HILLIARD AVE (__3ZAAPL),2022,548,365864.2025,5025363.525,45.365555,-75.720483,61
__3ZA30SA,FISHER AVE btwn 220 S OF TRENT ST & TRENT ST (__3ZA30SA),2022,13624,365828.1301,5026827.014,45.378726,-75.720763,62
