Intersection,All_Motorized_Vehicles_AADT_24Hour_Volume,Percent_Trucks,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date_Collected,X,Y,LAT,LONG,FID
LAFONTAINE AVE @ MCARTHUR AVE,15299,0.0294,1083,48,1552968000000,370949.7123,5032771.5737,45.4317484495,-75.6545776415,1
LAPERRIERE AVE @ LARKIN ST,8972,0.0477,141,14,1551243600000,364233.7,5026779.5352,45.378436346,-75.7411254722,2
LARMOURS RD @ SARSFIELD RD,346,0.128,1,0,1574226000000,395471.8493,5033500.5041,45.4355571346,-75.3410955055,3
LARRY ROBINSON RD @ MARVELVILLE RD,1466,0.1056,0,2,1574053200000,392846.8301,5008668.3567,45.2124782166,-75.3790553006,4
LASER ST @ GURDWARA RD,4379,0.0416,28,0,1575349200000,367233.7044,5022163.4996,45.3366413226,-75.7034068075,5
LAURIER AVE @ 135M E OF ELGIN ST,23149,0.0329,6456,2276,1559620800000,368075.783,5031624.523,45.4216936237,-75.6914513204,6
LAURIER AVE @ 89 E OF WALLER ST,9724,0.0886,4282,55,1547010000000,368515.9456,5031898.5913,45.4241196432,-75.6857919694,7
LAURIER AVE @ NELSON ST,9436,0.0297,5015,40,1547010000000,368877.7181,5032117.5806,45.426056983,-75.6811409664,8
LAURIER AVE @ NICHOLAS ST,43880,0.1306,3527,1259,1559620800000,368373.637,5031798.2699,45.4232299341,-75.6876232537,9
LAURIER AVE @ NICHOLAS ST,42432,0.1237,2250,49,1551330000000,368373.637,5031798.2699,45.4232299341,-75.6876232537,10
LAURIER AVE @ PERCY ST,3881,0.0202,1679,1251,1569384000000,366903.6974,5030919.5749,45.4154557441,-75.7065158213,11
LAURIER AVE @ QUEEN ELIZABETH DRWY/LAURIER AVE,25163,0.0352,36,773,1568779200000,368075.783,5031624.523,45.4216936237,-75.6914513204,12
LAURIER AVE @ RANGE RD,9804,0.0274,414,22,1573621200000,369390.7058,5032432.581,45.4288440531,-75.6745447879,13
LAURIER AVE @ SWEETLAND AVE,8354,0.0286,1535,25,1547010000000,368956.7122,5032167.5854,45.4264996666,-75.680125079,14
LAVERENDRYE DR @ QUINCY AVE,1019,0.082,59,95,1567051200000,374578.7252,5036038.5991,45.4607905977,-75.6077394427,15
LAVERENDRYE DR @ QUINCY AVE,1137,0.0965,89,39,1556078400000,374578.7252,5036038.5991,45.4607905977,-75.6077394427,16
LAWSON AVE @ FRANCES ST,1404,0.0402,156,7,1575435600000,371512.7178,5032232.5817,45.4268453619,-75.6474559986,17
LEBRETON ST @ ORANGEVILLE ST,2879,0.0152,49,42,1568260800000,366988.7045,5029610.5586,45.403670043,-75.7055949455,18
LEEDS AVE @ SHEFFIELD RD,10802,0.1943,30,7,1570507200000,374862.7396,5029550.5528,45.4023863486,-75.6050313661,19
LEGGET DR @ TERRY FOX DR,13578,0.0213,140,4,1550638800000,350176.6178,5023444.4933,45.3494784686,-75.9209078275,20
LEITRIM RD @ ALBION RD,29313,0.0534,53,26,1561003200000,373497.5851,5020419.2612,45.3203619479,-75.6237367993,21
LIMEBANK RD @ SPRATT RD,23615,0.0374,231,2,1576645200000,369769.189,5016875.1419,45.2888276038,-75.6717532586,22
LEITRIM RD S @ RAMSAYVILLE RD,9549,0.0315,0,3,1553659200000,378785.7671,5023729.5049,45.3496084012,-75.5557980838,23
LENESTER AVE @ MAITLAND AVE,24226,0.0175,33,21,1571889600000,363078.6879,5026146.5241,45.3728376203,-75.7559465925,24
LIMEBANK RD/RIVERSIDE DR @ RIVER RD,30832,0.0204,2,4,1576645200000,368403.997,5020477.3121,45.3213642311,-75.6886931445,25
LISGAR ST @ METCALFE ST,14491,0.0258,5255,31,1551243600000,367915.7084,5031251.587,45.4183525293,-75.6935443507,26
LLOYDALEX CRES @ ECHO POND WAY,742,0.0574,10,0,1574917200000,348445.5018,5014850.4136,45.2722561543,-75.9437560719,27
LOGAN FARM DR @ OSGOODE MAIN ST,3538,0.0352,33,0,1573707600000,375429.7208,5001315.3368,45.1482779891,-75.6018067532,28
LOLA ST @ KING GEORGE ST,4221,0.0245,218,41,1571716800000,371122.7208,5032114.5803,45.4258207249,-75.6524552393,29
LOLA ST @ QUEEN MARY ST,7546,0.0316,443,35,1576126800000,371129.7236,5032044.5835,45.42519026,-75.6523751858,30
LONG ISLAND RD @ LENA AVE/CINDY HILL CRES W,2175,0.0309,26,12,1570680000000,367924.699,5011392.4097,45.239662508,-75.695961746,31
LORRY GREENBERG DR @ 450 W OF CONROY RD/ROBERT,3117,0.066,156,2,1576040400000,373328.4702,5025528.0539,45.3663455186,-75.6251859529,32
LORRY GREENBERG DR @ 45M S OF MARGRAVE AVE,5288,0.039,220,31,1570680000000,372598.217,5025249.699,45.3639120022,-75.6345452658,33
LUNDY'S LANE @ PERTH ST,15158,0.0589,23,1,1576126800000,357237.9212,5006705.7172,45.1983675286,-75.8325658063,34
LYNCH ST @ BRADDISH ST,30,0,0,1,1563336000000,374783.7455,5022514.4935,45.3390869988,-75.607037127,35
LYNHAR RD @ EATON ST,1403,0.0386,42,7,1556683200000,358239.6631,5020905.4881,45.3260643294,-75.81828897,36
LYON ST @ MACLAREN ST,10640,0.0149,1001,117,1574658000000,367409.707,5030646.5686,45.4129542242,-75.70008597,37
LYON ST @ NEPEAN ST,13299,0.0167,1820,133,1574658000000,367234.6942,5030934.5764,45.4155612675,-75.7022852645,38
LYON ST @ SLATER ST,22020,0.0925,5740,46,1551934800000,367102.7046,5031152.5874,45.4175346291,-75.7039439405,39
LYON ST @ SLATER ST,29277,0.0332,7727,166,1575349200000,367102.7046,5031152.5874,45.4175346291,-75.7039439405,40
LYON ST @ WELLINGTON ST,25670,0.0678,3011,730,1567137600000,366935.271,5031426.166,45.4200110958,-75.7060485719,41
LYON ST @ WELLINGTON ST,27918,0.0697,3678,981,1567483200000,366935.271,5031426.166,45.4200110958,-75.7060485719,42
LYON ST @ WELLINGTON ST,29700,0.0659,3442,933,1567569600000,366935.271,5031426.166,45.4200110958,-75.7060485719,43
LYON ST @ WELLINGTON ST,26595,0.0688,2993,652,1569988800000,366935.271,5031426.166,45.4200110958,-75.7060485719,44
MACFARLANE AVE @ SHERWOOD DR,2957,0.0135,303,53,1574658000000,365529.7006,5028806.5509,45.3965638653,-75.7243296748,45
MACHARDY RD @ GALETTA SIDE RD,2366,0.0464,0,0,1554264000000,322941.5014,5030752.6488,45.4164746028,-76.2682062682,46
MACKAY ST @ SUSSEX DR,18741,0.0048,70,62,1573102800000,367922.7,5034089.6019,45.4438873651,-75.6930912161,47
MACKENZIE AVE @ RIDEAU ST,31745,0.0976,3840,54,1551934800000,367869.6992,5032009.5802,45.4251768488,-75.694035132,48
CLEROUX CRES W @ INNES RD,8447,0.0423,141,1,1547614800000,379015.7449,5033439.5649,45.4369491108,-75.5514029509,49
MACKENZIE KING BR/WALLER ST @ NICHOLAS ST/WALL,22575,0.2348,8895,42,1547010000000,368372.1456,5031992.6385,45.4249789301,-75.6876172251,50
MACLAREN ST @ O'CONNOR ST,14068,0.0268,2142,166,1553140800000,367899.7149,5030940.577,45.4155556052,-75.6937885106,51
MADELEINE MEILLEUR PRIV @ VANIER PKWY,31586,0.0151,125,7,1553572800000,369654.82,5033359.31,45.4371579471,-75.67104775,52
