OBJECTID__,Intersection,All_Motorized_Vehicles_AADT_24H,Percent_Trucks,Pedestrians_Not_Factored,Bicycles_Not_factored,Date_Collected,X,Y,LAT,LONG,ObjectId
1,RAMSAYVILLE RD @ MITCH OWENS RD,6824,0.0838,0,6,2021-Mar-23,381144.7914,5018038.471,45.298151,-75.52657405,1
2,HANNAH ST @ MARIER AVE,4707,0.0549,114,21,2021-Mar-18,370130.712,5033636.597,45.43960856,-75.6649289,2
3,BEAVERWOOD RD @ MANOTICK MAIN ST,8526,0.0252,189,68,2021-Mar-23,368922.7,5009739.39,45.22469854,-75.68346422,3
4,GREENBANK RD @ HALF MOON BAY,13369,0.0172,741,257,2021-Mar-23,364651.5955,5013125.004,45.25553833,-75.73743986,4
5,BANK ST @ MEADOW DR S,10581,0.1175,20,8,2021-Mar-23,379198.7737,5013965.438,45.26171245,-75.55199361,5
6,CEDAR CREEK DR/DEVONWOOD CIRC @ FINDLAY CREEK ,9475,0.0354,521,107,2021-Mar-23,375592.3282,5020307.34,45.31914683,-75.59703685,6
7,CONNECTICUT AVE @ FEATHERSTON DR,1626,0.0426,230,60,2021-Mar-23,372241.729,5027421.547,45.38348785,-75.63879881,7
8,CANTERBURY AVE/HAIG DR @ KILBORN AVE,7677,0.0377,248,170,2021-Mar-23,372541.7286,5028108.544,45.38964021,-75.63487409,8
9,HAIG DR @ PLEASANT PARK RD,8686,0.0279,606,196,2021-Mar-23,372402.7362,5028586.55,45.39395454,-75.63658346,9
10,LALANDE TER @ MONTCREST DR,2029,0.0575,79,5,2021-Mar-24,384374.7506,5038859.582,45.48512407,-75.48203946,10
11,SCALA AVE @ JANET WAY W/MARKWICK CRES W,1952,0.0392,174,4,2021-Mar-24,385921.03,5036745.677,45.46592731,-75.46261096,11
12,SCALA AVE @ NEWCARLISLE CRES E,1753,0.0312,64,6,2021-Mar-24,385958.3784,5036518.235,45.46387667,-75.46217098,12
13,ALICE ST @ ST. AMBROISE ST,745,0.0318,335,51,2021-Mar-24,369689.7156,5033614.605,45.43945175,-75.67056812,13
14,MEANDERING BROOK DR E @ STEDMAN ST,1181,0.0386,60,2,2021-Mar-24,373153.8249,5022812.926,45.34193288,-75.62779054,14
15,ROSS AVE @ SCOTT ST,7174,0.0635,326,125,2021-Mar-24,364356.6907,5029362.565,45.40166752,-75.73924347,15
16,MERTON ST @ SCOTT ST,7240,0.0775,104,23,2021-Mar-24,365327.5879,5029955.486,45.40691922,-75.72676991,16
17,CASTLEFRANK RD N @ SHELDRAKE DR N,3675,0.0436,106,45,2021-Mar-30,353446.62,5016935.447,45.29068963,-75.87981806,17
18,BLACK FRIARS RD @ SAVILLE ROW,2341,0.063,388,121,2021-Mar-30,362080.6908,5026571.535,45.37674411,-75.76863783,18
19,CENTREPOINTE DR @ HEMMINGWOOD WAY E,8049,0.014,210,34,2021-Mar-30,362327.0129,5023204.499,45.34642763,-75.76588498,19
