Intersection,All_Motorized_Vehicles_AADT_24_,Truck_Percent,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date,X,Y,Lat,Long,FID
RUSSELL RD @ RUSSELL RD EXT,3986,0.0629,0,1,2023-Jul-19,384131.791,5026926.5079,45.377788,-75.48707,1
PORTOBELLO BLVD @ CAPREOL ST/MARTELLO DR,4060,0.044,160,38,2023-Oct-25,385688.7738,5035639.8806,45.456005,-75.465763,2
HALL RD S @ RUSSELL RD,4077,0.0675,3,2,2023-Jul-19,384028.7914,5026939.5107,45.377917,-75.488382,3
BAY ST @ GLOUCESTER ST,4083,0.0229,2126,150,2023-Nov-01,367074.7015,5030933.5763,45.415567,-75.704329,4
LEITRIM RD @ RUSSELL RD E,4167,0.0641,0,1,2023-Jul-19,383878.7874,5026905.5074,45.377628,-75.490303,5
BLOHM DR @ FORESTGLADE CRES S/PICASSO DR,4213,0.0385,71,2,2023-Mar-14,375067.7433,5026322.5211,45.373322,-75.602873,6
FOREST GATE WAY @ STONEWAY DR W,4219,0.0346,76,69,2023-May-30,365757.4202,5016782.5701,45.288354,-75.722903,7
PAUL METIVIER DR @ TEMAGAMI DR,4279,0.0103,101,47,2023-Aug-02,365553.474,5014522.8301,45.268039,-75.725779,8
CABIN RD @ NIXON DR,4302,0.0362,0,2,2023-Jul-06,373937.7071,5001599.3342,45.150981,-75.620739,9
DES PRAIRIES AVE S @ PRESTWICK DR S,4374,0.0274,53,24,2023-Oct-19,383509.7659,5036166.5615,45.460993,-75.493534,10
ROGER STEVENS DR @ MALAKOFF RD,4412,0.0558,0,0,2023-Jan-17,362227.6181,4996129.2561,45.102809,-75.770277,11
BEATRICE DR @ BERRIGAN DR,4414,0.0297,67,67,2023-Jul-25,365176.6973,5016074.1017,45.282029,-75.730392,12
MAPLE AVE @ ANN ST,4459,0.0176,21,5,2023-Jul-13,368698.7048,5009848.3906,45.2257,-75.686302,13
WATERBRIDGE DR @ CRESTWAY DR,4479,0.0095,118,16,2023-Nov-16,366481.6144,5016133.8275,45.282454,-75.713752,14
MANOTICK MAIN ST/RIDEAU VALLEY DR @ CENTURY RD,4505,0.1188,8,0,2023-Mar-14,370042.7107,5008802.3897,45.216165,-75.669326,15
TRIM RD @ WALL RD,4602,0.0281,2,27,2023-Jul-05,387628.7867,5034669.527,45.447048,-75.441125,16
FERN CASEY ST @ LOCUST RDG/CREVASSE RD,4640,0.031,219,50,2023-Sep-13,382521.0012,5033475.09,45.436888,-75.506601,17
HAIG DR @ SAUNDERSON DR,4663,0.0184,187,6,2023-Mar-01,372590.7236,5029539.5517,45.402511,-75.634052,18
BIRCHLAND CRES/FRANKLIN CATHCART CRES @ WEST RIDGE DR S,4708,0.0299,157,1,2023-Nov-29,349873.0301,5012357.5929,45.249735,-75.92579,19
MANOTICK MAIN ST/RIDEAU VALLEY DR @ CENTURY RD,4725,0.1253,10,0,2023-Mar-14,370042.7107,5008802.3897,45.216165,-75.669326,20
BLUE WILLOW CRES N @ ORLEANS BLVD,4761,0.0258,47,15,2023-Aug-01,380872.0772,5033424.9268,45.436618,-75.527682,21
AKERSON RD @ MICHAEL COWPLAND DR,4788,0.0195,143,103,2023-Jul-05,353916.7759,5016238.0326,45.284381,-75.873894,22
JEANNE D'ARC BLVD @ LAWNSBERRY DR W,4796,0.0372,176,6,2023-Feb-14,381788.7376,5038986.6038,45.486557,-75.515096,23
KLONDIKE RD @ OLD SECOND LINE RD,4829,0.0159,90,104,2023-Jul-12,348189.1041,5023075.774,45.346286,-75.946303,24
STONEWAY DR @ WITTINGHAM DR,4961,0.0297,119,43,2023-May-30,365714.9166,5016771.9391,45.288262,-75.723446,25
DONALD ST @ NORTH RIVER RD,5097,0.0219,580,418,2023-Aug-24,369967.7169,5032232.5817,45.426991,-75.667198,26
PAUL METIVIER DR @ BEATRICE DR,5179,0.0209,69,43,2023-May-30,365704.3211,5014603.8781,45.268755,-75.723847,27
ORLEANS BLVD @ BLUE WILLOW CRES S/DES GRANDS-CHAMPS WAY,5227,0.0263,116,30,2023-Aug-01,380752.1529,5033311.026,45.435606,-75.529232,28
ABBOTT ST @ LANCELEAF WAY/MALAHAT WAY,5273,0.0236,208,47,2023-May-30,352547.5061,5015909.9644,45.281524,-75.891379,29
BAYCREST DR @ SANDALWOOD DR,5277,0.0634,279,10,2023-Nov-01,371353.7315,5026705.5281,45.37713,-75.650233,30
BANK ST @ BELMEADE RD/MARIONVILLE RD,5335,0.0628,0,0,2023-Mar-14,388036.7816,5001137.3196,45.145303,-75.441539,31
GOULBURN AVE @ LAURIER AVE,5389,0.0271,417,150,2023-Jun-22,369253.7095,5032348.5829,45.428101,-75.676306,32
BIRCHLAND CRES/FRANKLIN CATHCART CRES @ WEST RIDGE DR S,5456,0.0201,159,9,2023-Oct-31,349873.0301,5012357.5929,45.249735,-75.92579,33
EARL ARMSTRONG RD @ BOWESVILLE RD,5505,0.0429,4,6,2023-Aug-01,372560.741,5017440.4636,45.293651,-75.636092,34
ALBION RD @ ROSEBELLA AVE,5507,0.0479,18,2,2023-Feb-23,372386.7427,5023064.5066,45.344271,-75.637543,35
FORCED RD @ RUSSELL RD,5507,0.1071,2,2,2023-Jul-05,395805.865,5027765.4704,45.383917,-75.337886,36
PUTMAN AVE @ SPRINGFIELD RD,5529,0.0385,718,122,2023-Oct-18,369186.7001,5033909.5936,45.442152,-75.676958,37
MANOTICK MAIN ST/RIDEAU VALLEY DR @ CENTURY RD,5533,0.0732,8,1,2023-Nov-01,370042.7107,5008802.3897,45.216165,-75.669326,38
COURTICE AVE @ KILBORN AVE,5570,0.0324,39,82,2023-May-02,370919.7214,5027813.5351,45.387141,-75.655626,39
PAUL METIVIER DR @ CLEARBROOK DR,5577,0.0167,55,34,2023-May-30,366088.0559,5014763.554,45.270158,-75.718938,40
KILBORN AVE @ PROSPECT AVE,5653,0.0339,40,84,2023-May-02,370997.7175,5027821.5358,45.387205,-75.654629,41
BOOTH ST @ ORANGEVILLE ST,5655,0.0252,405,163,2023-Jun-29,366891.6961,5029571.5648,45.403328,-75.706839,42
ANDERSON ST @ BOOTH ST,5687,0.0163,251,22,2023-Mar-21,366650.6967,5030124.5682,45.408325,-75.709848,43
MCNEELY RD @ RUSSELL RD,5712,0.111,0,0,2023-Jul-05,394434.8542,5027231.4689,45.37929,-75.355487,44
