Geo_ID,Midblock,Year,All_Motorized_Vehicles_AADT_24_,X,Y,Lat,Long,FID
__3Z0BKQ,PRESTONE DR btwn RIVER RIDGE CRES & RIVER RIDGE CRES (__3Z0BKQ),2023,2176,382665.7471,5038256.0849,45.4798870786129,-75.5039942261071,1
__3Z0BF5,RAMSAYVILLE RD btwn LEITRIM RD & PIPERVILLE RD (__3Z0BF5),2023,4725,379160.013100859,5022827.18529629,45.341448291548,-75.5511573510558,2
__3Z0CHT,PARKWAY RD btwn GOOD ST & KESWICK DR (__3Z0CHT),2023,3275,378237.76545,5013897.9419,45.2612061194093,-75.5642473146037,3
__3Z09JE,TENTH LINE RD btwn WALL RD & NAVAN RD (__3Z09JE),2023,4845,385455.742921417,5032570.22194728,45.4284157214017,-75.4692455551563,4
__3Z00FS,OAKLAND AVE btwn WILTON LANE & MONK ST (__3Z00FS),2023,257,368450.623792766,5028986.88542893,45.3979275356449,-75.687001307379,5
__3Z0AD6,FRANK KENNY RD btwn MCFADDEN RD & RUSSELL RD (__3Z0AD6),2023,5351,391840.24916324,5028058.74573753,45.3870520762713,-75.3884588747775,6
__4CZRM2,WATERBRIDGE DR btwn CRESTWAY DR & OLDFIELD ST (__4CZRM2),2023,865,366561.034959118,5016112.95145453,45.2822589638958,-75.7127438482098,7
__3Z09XI,CHURCHILL AVE btwn IRENE CRES & CURRELL AVE (__3Z09XI),2023,9084,363684.584342315,5027245.66916452,45.382677525082,-75.748080977346,8
__3Z06ET,MAIN ST btwn TORONTO ST & RIDEAU RIVER DR (__3Z06ET),2023,14047,369530.598584342,5029301.59202472,45.4006545564916,-75.6731647787499,9
__3Z0GCG,MALCOLM PL btwn NORICE ST & FIELDROW ST (__3Z0GCG),2023,852,364265.6951,5022997.0045,45.3443989362335,-75.7411721128264,10
__3Z0E3F,KILBORN AVE btwn MCQUAIG ST & OLD LILAC LANE (__3Z0E3F),2023,4055,370139.22,5027722.543,45.3863953708485,-75.6656041691705,11
__3Z08JV,COLONEL BY DR btwn UNIVERSITY RD & BRONSON AVE SB ON RAMP 43 (__3Z08JV),2023,9119,367495.121438568,5027672.00070287,45.3863329571299,-75.6994185071661,12
__3Z0GLP,HINTON AVE btwn ARMSTRONG ST & WELLINGTON ST (__3Z0GLP),2023,639,364972.697,5029266.55905,45.400751008106,-75.7313872455613,13
__3Z094T,DUNROBIN RD btwn KINBURN SIDE RD & VANCES SIDE RD (__3Z094T),2023,2707,339063.574990614,5034776.25019842,45.4519838011941,-76.0618162552299,14
