FID,OBJECTID,Intersecti,All_Motori,F__Truck,Pedestrian,Bicycles_N,Data_Colle
1,1,240 S OF CHARLEMAGNE BLVD/DES EPINETTES AVE @ TENTH LINE RD,27032,2.35%,51,6,2017-Apr-19
2,2,2ND LINE RD @ OSGOODE MAIN ST,3529,4.88%,4,0,2017-Jan-17
3,3,8TH LINE RD @ PARKWAY RD,3961,4.68%,5,5,2017-Oct-11
4,4,AERO DR @ HOLLY ACRES RD,7820,3.10%,97,15,2017-Nov-30
5,5,AGES DR @ HAWTHORNE RD,23004,14.52%,24,4,2017-Jan-25
6,6,ALBERT ST @ BOOTH ST,36881,11.81%,3742,34,2017-Mar-28
7,7,ALBERT ST @ BOOTH ST,33577,11.83%,4540,181,2017-Jun-08
8,8,ALBERT ST @ BRONSON AVE,15215,14.03%,950,13,2017-Dec-13
9,9,ALBERT ST @ COMMISSIONER ST,13304,14.93%,435,57,2017-Apr-19
10,10,ALBERT ST @ EMPRESS AVE,15562,20.64%,824,7,2017-Apr-19
11,11,ALBERT ST @ EMPRESS AVE,16215,21.95%,905,6,2017-Mar-28
12,12,ALBERT ST @ KENT ST (OTTAWA),20485,11.96%,15758,25,2017-Mar-28
13,13,ALBERT ST @ METCALFE ST,16461,12.85%,17739,52,2017-Mar-28
14,14,ALBION RD @ FINDLAY CREEK DR,16932,5.13%,7,20,2017-Jun-08
15,15,ALBION RD @ MITCH OWENS RD,18435,9.02%,0,5,2017-May-04
16,16,ALBION RD @ QUINN RD/FENTON RD,15451,4.25%,16,5,2017-Jun-29
17,17,ALBION RD @ RIDEAU RD,15260,8.80%,1,13,2017-May-04
18,18,ALDERWOOD ST @ AUTUMNWOOD ST,849,4.83%,33,9,2017-Jun-08
19,19,ALDERWOOD ST @ TRAPPER'S RD,1067,3.23%,27,10,2017-Apr-12
20,20,ALON ST @ MAPLE GROVE RD,628,2.61%,1,0,2017-Nov-02
21,21,ALON ST @ MAPLE GROVE RD,647,3.54%,3,3,2017-Nov-03
22,22,ALTA VISTA DR @ CUNNINGHAM AVE,13958,2.69%,151,153,2017-Jun-01
23,23,ALTA VISTA DR @ SMYTH RD,40310,2.84%,382,105,2017-Apr-11
24,24,ALTA VISTA DR @ SMYTH RD,46976,2.99%,463,55,2017-Nov-21
25,25,AMBERCREST ST @ MEADOWCROFT CRES E,300,5.46%,25,6,2017-Nov-29
26,26,AMBERCREST ST @ MEADOWCROFT CRES W,801,3.64%,56,32,2017-Sep-21
27,27,ANALDEA DR/ WHITE ALDER AVE @ BANK ST,17650,3.90%,60,0,2017-Mar-13
28,28,ANDERSON RD @ INNES RD,47834,4.05%,0,86,2017-May-03
29,29,ANDERSON RD @ LEITRIM RD,9218,5.65%,2,2,2017-Jun-21
30,30,ANDERSON RD @ RIDGE RD,9783,2.45%,0,3,2017-Jun-01
31,31,ANDRE AUDET AVE @ DUNDONALD DR,3433,2.86%,53,9,2017-Jun-29
32,32,ANTHONY AVE @ WOODROFFE AVE,14281,2.21%,86,21,2017-Aug-03
33,33,ANTHONY AVE @ WOODROFFE AVE,13806,2.40%,60,10,2017-Aug-22
34,34,ANTHONY AVE @ WOODROFFE AVE,16371,2.41%,108,18,2017-Sep-26
35,35,ANTHONY AVE @ WOODROFFE AVE,14372,2.37%,81,8,2017-Nov-16
36,36,APPLEFORD ST @ OGILVIE RD,14968,4.94%,606,2,2017-Feb-09
37,37,AQUAVIEW DR @ BRIAN COBURN BLVD,12232,3.00%,302,18,2017-May-03
38,38,ARCH ST @ CHAPMAN BLVD,913,3.79%,117,35,2017-Sep-07
39,39,ARGYLE AVE @ O'CONNOR ST,17011,2.03%,2382,68,2017-Mar-21
40,40,ARGYLE AVE W @ METCALFE ST,14266,1.49%,379,5,2017-Apr-04
41,41,ARLINGTON AVE @ BRONSON AVE,24589,4.12%,667,13,2017-Dec-13
42,42,ARLINGTON AVE @ KENT ST,16213,2.13%,903,45,2017-Apr-05
43,43,ATHLONE AVE @ RICHMOND RD,11918,2.01%,1948,139,2017-Apr-20
44,44,ATHLONE AVE @ SCOTT ST,9502,4.64%,1346,119,2017-Nov-22
45,45,AVIATION PKWY @ OGILVIE RD,45770,1.87%,323,159,2017-May-09
46,46,AYLMER AVE @ ROSEDALE AVE,1757,3.52%,267,15,2017-Jan-11
47,47,BANK ST @ BELMEADE RD/MARIONVILLE RD,6099,6.75%,0,0,2017-Mar-28
48,48,BANK ST @ CATHERINE ST,24611,4.34%,2787,109,2017-Apr-05
49,49,BANK ST @ CECIL AVE,25118,2.62%,168,18,2017-Apr-25
50,50,BANK ST @ EVANS AVE,24424,2.67%,143,12,2017-Apr-06
51,51,BANK ST @ FIFTH AVE,17358,4.69%,5563,862,2017-Jul-20
52,52,BANK ST @ FIFTH AVE,24001,2.38%,10981,764,2017-Sep-10
53,53,BANK ST @ FIFTH AVE,17159,4.81%,6064,683,2017-Oct-10
54,54,BANK ST @ GLEBE AVE,15759,5.30%,3366,677,2017-Jul-20
55,55,BANK ST @ GLEBE AVE,20259,2.73%,5192,536,2017-Sep-10
56,56,BANK ST @ GLEBE AVE,15870,4.99%,3965,584,2017-Oct-10
57,57,BANK ST @ GREY'S CREEK RD,9203,9.87%,0,0,2017-Jul-27
58,58,BANK ST @ GREY'S CREEK RD,9023,9.55%,0,0,2017-Nov-02
59,59,BANK ST @ HOLMWOOD AVE,16514,4.73%,5319,774,2017-Jul-20
60,60,BANK ST @ HOLMWOOD AVE,23389,2.46%,12930,770,2017-Sep-10
61,61,BANK ST @ LAURIER AVE,15286,5.95%,18113,573,2017-Apr-05
62,62,BANK ST @ LAWRENCE ST,6417,6.30%,5,1,2017-Mar-28
63,63,BANK ST @ MITCH OWENS RD,21769,9.39%,0,3,2017-May-04
64,64,BANK ST @ PARKWAY RD,11502,7.37%,6,4,2017-Apr-12
65,65,BANK ST @ RIDEAU RD,21799,13.67%,2,1,2017-Jun-13
66,66,BANK ST @ ROTARY WAY,18772,3.73%,13,0,2017-Mar-13
67,67,BANK ST @ SECOND AVE,15312,5.30%,4934,617,2017-Jul-20
68,68,BANK ST @ SECOND AVE,19982,2.75%,8466,567,2017-Sep-10
69,69,BANK ST @ SECOND AVE,15184,5.09%,5192,577,2017-Oct-10
70,70,BANK ST @ SIEVERIGHT AVE,20497,3.82%,24,4,2017-Nov-30
71,71,BANK ST @ SOUTHKEYS SC,26645,2.77%,104,7,2017-Mar-13
72,72,BANK ST @ WILTON CRES,21165,3.33%,328,339,2017-Jun-06
73,73,BANK ST @ WILTON CRES,19593,3.72%,801,1041,2017-Jul-20
74,74,BANK ST @ WILTON CRES,23912,2.19%,1604,1027,2017-Sep-10
75,75,BANK ST @ WILTON CRES,19994,3.64%,1012,932,2017-Oct-10
76,76,BANK ST/PRETORIA AVE @ CHAMBERLAIN AVE S,15907,5.01%,1060,562,2017-Jul-20
77,77,BANK ST/PRETORIA AVE @ CHAMBERLAIN AVE S,20225,2.76%,1800,421,2017-Sep-10
78,78,BANK ST/PRETORIA AVE @ CHAMBERLAIN AVE S,16259,4.74%,2787,439,2017-Oct-10
79,79,BANKFIELD RD @ FIRST LINE RD,9710,7.49%,0,2,2017-Apr-20
80,80,BANKFIELD RD @ FIRST LINE RD,10138,9.38%,0,0,2017-Nov-01
81,81,BANKFIELD RD @ POTTER DR/LOCKMASTER CRES,10585,9.37%,2,0,2017-May-25
82,82,BANKFIELD RD @ PRINCE OF WALES DR,17834,7.25%,1,0,2017-Nov-01
83,83,BARCHAM CRES E @ BREN-MAUR RD,643,6.80%,17,0,2017-Mar-28
84,84,BARIBEAU ST @ DAGMAR AVE,497,5.28%,70,20,2017-Nov-29
85,85,BARNSDALE RD @ PRINCE OF WALES DR,13287,3.92%,4,33,2017-May-24
86,86,BARNSDALE RD @ RIDEAU VALLEY DR,11748,3.12%,1,58,2017-May-24
87,87,BARRAN ST @ FALLOWFIELD RD,17184,3.10%,4,0,2017-Nov-02
88,88,BASELINE RD @ SANDCASTLE DR,23142,3.12%,84,2,2017-Jan-12
89,89,BASELINE RD/HWY 416 RICHMOND IC75R53 @ RICHMON,38317,2.54%,41,3,2017-Mar-08
90,90,BAY ST @ LAURIER AVE,8480,2.16%,2696,464,2017-Apr-05
91,91,BAY ST @ SOMERSET ST,9590,3.73%,2373,817,2017-May-17
92,92,BAY ST @ SOMERSET ST,8862,3.75%,2150,947,2017-Jul-19
93,93,BAY ST @ SPARKS ST,9338,1.93%,1931,176,2017-Nov-23
94,94,BAYSHORE DR @ RICHMOND RD,33081,2.64%,38,8,2017-Nov-22
95,95,BAYSWATER AVE @ YOUNG ST,4879,1.21%,255,59,2017-Apr-19
96,96,BEATRICE DR @ STRANDHERD DR,30445,3.13%,170,10,2017-Apr-25
97,97,BEAUSEJOUR DR @ CHAMPNEUF DR,4073,2.45%,82,3,2017-Apr-19
98,98,BEAUSEJOUR DR @ JEANNE D'ARC BLVD,24531,2.20%,222,11,2017-May-09
99,99,BEAUSOLEIL DR @ OLD ST. PATRICK ST,4314,5.47%,745,51,2017-Nov-23
100,100,BEECH ST @ LORETTA AVE,2744,3.45%,253,11,2017-Feb-22
101,101,BELLMAN DR @ MCCLELLAN RD,3622,5.02%,75,23,2017-Apr-26
102,102,BELMEADE RD @ STAGECOACH RD,2185,8.00%,0,0,2017-Mar-28
103,103,BERTRAND ST @ IVY CRES W,315,2.60%,68,11,2017-Nov-29
104,104,BESSERER ST @ WALLER ST,16613,13.01%,3088,53,2017-May-09
105,105,BEVERLY ST @ JONATHAN PACK ST,2033,2.51%,18,0,2017-Dec-13
106,106,BILLINGS BRIDGE NB RAMP @ RIVERSIDE DR WB,1630,2.79%,0,0,2017-Jan-11
107,107,BILLINGS BRIDGESC RAMP SB @ RIVERSIDE DR EB,1635,2.12%,1,0,2017-Jan-11
108,108,BIRCH AVE @ HEMLOCK RD,14028,3.18%,31,82,2017-Apr-19
109,109,BLACKBURN BYPASS @ 1700 W OF NAVAN RD,31652,3.72%,64,0,2017-Apr-19
110,110,BLACKBURN BYPASS @ INNES RD E,33010,3.70%,0,19,2017-May-03
111,111,BLACKBURN BYPASS @ INNES RD W,43515,4.25%,1,44,2017-May-03
112,112,BLACKBURN BYPASS @ NAVAN RD,34539,4.43%,0,9,2017-May-03
113,113,BLAIR RD @ CLAVER ST,12957,2.40%,422,80,2017-Jul-26
114,114,BLAIR RD @ REGIONAL RD 174 S/OR174 IC112 RAMP15,34443,4.94%,1,12,2017-Apr-11
115,115,BLOSSOM DR @ WINTHER AVE,772,1.06%,15,38,2017-Jul-05
116,116,BLUE WILLOW CRES N @ ORLEANS BLVD,5474,5.49%,65,9,2017-Sep-21
117,117,BOOTH ST @ OTTAWA RIVER PKWY/WELLINGTON ST,50268,2.94%,1015,362,2017-Jun-08
118,118,BORTHWICK AVE @ BURN ST,732,2.49%,53,10,2017-Nov-21
119,119,BOTSFORD ST @ CORONATION AVE,3253,6.35%,87,47,2017-Nov-09
120,120,BOUNDARY RD @ MITCH OWENS RD,10254,7.05%,4,1,2017-Jun-08
121,121,BOUNDARY RD @ RUSSELL RD E,8464,9.29%,12,4,2017-May-31
122,122,BOYER RD @ ORLEANS BLVD,13140,2.91%,84,8,2017-May-25
123,123,BREEZEHILL AVE @ HICKORY ST,1205,3.63%,217,15,2017-Feb-22
124,124,BREWER WAY @ HOPEWELL AVE,316,2.07%,70,44,2017-May-09
125,125,BRIAN COBURN BLVD @ ESPRIT DR,11204,3.44%,290,1,2017-Nov-29
126,126,BRIAN COBURN BLVD @ ESPRIT DR,11395,3.71%,299,20,2017-May-03
127,127,BRIAN COBURN BLVD @ GERRY LALONDE DR,13029,2.20%,41,2,2017-Nov-29
128,128,BRIAN COBURN BLVD @ STRASBOURG ST,11842,3.09%,169,6,2017-Apr-20
129,129,BRICKLAND DR @ DUNNING RD,3552,6.66%,1,2,2017-Mar-02
130,130,BRIDGE ST @ NORTH RIVERSIDE DR,16482,6.26%,10,0,2017-Jan-17
131,131,BRIDGESTONE DR @ EAGLESON RD,17435,3.22%,23,3,2017-May-25
132,132,BRIDLE PATH DR @ TRAPPER'S RD,6487,3.66%,204,81,2017-Jun-22
133,133,BRIERWOOD AVE/HIGHLAND AVE @ TILLBURY AVE E,752,2.83%,50,111,2017-Aug-29
134,134,BROAD ST @ OTTAWA RIVER PKWY,29133,0.59%,2,0,2017-Dec-13
135,135,BROADVIEW AVE @ TILLBURY AVE,4587,2.25%,424,105,2017-Jun-01
136,136,BROADVIEW AVE @ WELLESLEY AVE,5784,2.04%,1228,39,2017-Jun-01
137,137,BROADWAY AVE @ CRAIG ST,355,3.69%,66,75,2017-Aug-29
138,138,BRONSON AVE @ BRONSON AVE NB ON RAMP 42,48509,2.33%,90,100,2017-Jun-20
139,139,BRONSON AVE @ BRONSON AVE SB ON RAMP 43,46658,2.30%,158,99,2017-Jun-20
140,140,BRONSON AVE @ CATHERINE ST/RAYMOND ST,40709,3.41%,815,13,2017-Apr-05
141,141,BRONSON AVE @ COMMISSIONER ST/SLATER ST,20071,12.48%,925,9,2017-Dec-13
142,142,BRONSON AVE @ GLOUCESTER ST,15747,4.64%,657,12,2017-Dec-13
143,143,BRONSON AVE @ LAURIER AVE,15265,4.42%,1265,118,2017-Apr-05
144,144,BRONSON AVE @ LAURIER AVE,14251,4.35%,1123,383,2017-Aug-29
145,145,BRONSON AVE @ PRIMROSE AVE,16821,4.54%,663,14,2017-Dec-13
146,146,BRONSON AVE @ RENFREW AVE,34913,3.27%,488,31,2017-Jun-20
147,147,BRONSON PL @ COLONEL BY DR,15907,0.32%,179,6,2017-Feb-10
148,148,BYRON AVE @ RICHARDSON AVE,422,4.26%,57,46,2017-Aug-03
149,149,BYRON AVE @ RICHARDSON AVE,345,3.33%,29,16,2017-Nov-16
150,150,BYRON AVE @ ROOSEVELT AVE,8315,1.42%,711,321,2017-Jun-01
151,151,BYRON AVE @ TWEEDSMUIR AVE,8603,1.12%,237,70,2017-Nov-22
152,152,BYRON AVE @ WOODROFFE AVE,14660,2.11%,129,82,2017-Aug-03
153,153,BYRON AVE @ WOODROFFE AVE,14873,2.27%,106,14,2017-Nov-16
154,154,CAMBRIAN RD @ GREENBANK RD,17586,3.52%,256,13,2017-Sep-13
155,155,CAMBRIAN RD @ KILBIRNIE DR/TUCANA WAY,10049,3.31%,369,6,2017-Apr-20
156,156,CAMBRIAN RD @ SEELEY'S BAY ST,6129,5.53%,31,0,2017-Nov-22
157,157,CAMPEAU DR @ HERLIHEY WAY,19123,1.72%,80,1,2017-Dec-06
158,158,CAMPEAU DR @ KANATA AVE,24489,2.65%,248,4,2017-Dec-06
159,159,CAMPEAU DR @ TERON RD/COLCHESTER SQ,22351,3.79%,258,8,2017-Dec-06
160,160,CAMPEAU DR/HWY 417 MARCH IC138R63 @ MARCH RD,65632,2.33%,10,5,2017-Mar-30
161,161,CANYON WALK DR @ OWLS CABIN AVE/VERMILLION DR,1879,2.62%,46,2,2017-Jun-29
162,162,CARLETON AVE @ SCOTT ST,14172,2.76%,598,78,2017-Mar-28
163,163,CARLING AVE @ BROADVIEW AVE,35847,2.13%,1204,15,2017-Apr-20
164,164,CARLING AVE @ CHURCHILL AVE,38416,3.07%,549,21,2017-Apr-25
165,165,CARLING AVE @ CIVIC HOSPITAL,26688,3.95%,798,40,2017-Apr-12
166,166,CARLING AVE @ EDGEWORTH AVE,26428,2.76%,824,41,2017-May-10
167,167,CARLING AVE @ FAIRLAWN AVE/WOODROFFE AVE E,44865,2.82%,875,17,2017-Mar-30
168,168,CARLING AVE @ IROQUOIS RD,27532,2.05%,532,33,2017-May-10
169,169,CARLING AVE @ MAITLAND AVE/SHERBOURNE RD,46559,2.09%,901,17,2017-Mar-30
170,170,CARLING AVE @ PRESTON ST,37801,3.71%,1342,302,2017-Jun-20
171,171,CARP RD @ ECHOWOODS AVE/KITTIWAKE DR,23150,4.80%,57,12,2017-May-04
172,172,CARP RD @ HAZELDEAN RD,29467,5.43%,121,19,2017-May-04
173,173,CARP RD @ HAZELDEAN RD,28673,6.00%,147,1,2017-Nov-23
174,174,CARP RD @ HOBIN ST/MCCOOEYE LANE,14043,4.88%,98,11,2017-May-04
175,175,CARP RD @ RICHARDSON SIDE RD,17756,10.10%,0,10,2017-May-04
176,176,CARP RD @ RIVINGTON ST,5349,3.13%,3,4,2017-Aug-16
177,177,CARP RD @ STITTSVILLE MAIN ST,24421,3.59%,218,19,2017-May-04
178,178,CARP RD @ WESTBROOK RD,25826,6.47%,127,4,2017-May-04
179,179,CARRUTHERS AVE @ SCOTT ST,15235,18.33%,735,37,2017-Mar-28
180,180,CASTLEFRANK RD @ KATIMAVIK RD,20673,3.74%,522,3,2017-Mar-30
181,181,CASTLEFRANK RD N @ GLAMORGAN DR N,2582,1.46%,43,36,2017-Jul-18
182,182,CATHERINE ST @ ELGIN ST,14869,2.67%,901,85,2017-Apr-19
183,183,CATHERINE ST @ KENT ST,21134,2.85%,1008,15,2017-Apr-05
184,184,CATHERINE ST @ LYON ST/HWY 417 LYON IC120BR36,12426,3.47%,279,7,2017-Apr-19
185,185,CATHERINE ST @ PERCY ST,7031,4.29%,639,170,2017-Apr-05
186,186,CEDARVIEW RD @ 217 S  OF FALLOWFIELD RD/CEDARV,8534,3.87%,87,0,2017-Jan-17
187,187,CEDARVIEW RD @ JOCKVALE RD,11283,3.28%,94,0,2017-Jan-17
188,188,CEDARVIEW RD @ JOCKVALE RD,11180,1.89%,159,2,2017-Jun-29
189,189,CEDARVIEW RD @ MARAVISTA DR,5990,2.76%,386,36,2017-May-24
190,190,CENTREPOINTE DR @ 50 S OF MARBLE ARCH/REC PATH,3531,3.61%,230,6,2017-Jan-12
191,191,CENTREPOINTE DR @ HEMMINGWOOD WAY E,11968,1.41%,152,81,2017-Jun-07
