FID,OBJECTID,Intersecti,All_Motori,F__Truck,Pedestrian,Cyclist_No,Data_Colle
1,1,105 S OF COMMISSIONER ST @ ALBERT ST,8413,19.05%,111,371,2016-Jul-13
2,2,130 W OF PRESTON ST @ CARLING AVE,22855,3.35%,563,398,2016-Jul-13
3,3,225 E OF ORLEANS BLVD/ST. MATTHEW H.S. @ JEANNE D'ARC BLVD,10749,3.32%,208,7,2016-Mar-09
4,4,225 E OF RIVERSIDE DR / T & T SC @ HUNT CLUB RD,38161,3.77%,161,2,2016-Jan-29
5,5,250 W OF STITTSVILLE MAIN ST @ HAZELDEAN RD,12937,5.91%,18,1,2016-Jan-19
6,6,2ND LINE RD @ DALMENY RD EXTENSION,1166,5.90%,0,0,2016-Nov-03
7,7,2ND LINE RD @ LOMBARDY DR,306,9.52%,1,0,2016-Dec-07
8,8,2ND LINE RD @ OSGOODE MAIN ST,3337,3.09%,1,14,2016-Jul-21
9,9,2ND LINE RD N @ DALMENY RD N,2197,4.85%,0,0,2016-Nov-03
10,10,300 S OF WATTERS RD @ TRIM RD,14809,4.56%,96,8,2016-Jan-13
11,11,320 W OF HUNTMAR DR @ CAMPEAU DR,5796,2.80%,105,0,2016-Aug-17
12,12,"325 E OF HUNTMAR RD/IBER RD,TRANSITWAY @ HAZELDEAN RD",27550,3.71%,19,0,2016-Jan-19
13,13,635 E OF HUNTMAR DR/IBER RD @ HAZELDEAN RD,28212,3.44%,40,0,2016-Jan-19
14,14,780 W OF TERRY FOX DR @ HAZELDEAN RD,30690,3.00%,111,51,2016-Aug-17
15,15,780 W OF TERRY FOX DR @ HAZELDEAN RD,30367,3.54%,38,0,2016-Jan-19
16,16,ABBEYHILL DR @ EAGLESON RD,32206,2.34%,101,12,2016-Aug-18
17,17,ABBOTT ST @ IBER RD,7208,4.42%,14,0,2016-Mar-08
18,18,ABBOTT ST @ IBER RD,6464,4.11%,1,0,2016-Jan-13
19,19,ABERDEEN ST @ ROCHESTER ST,7843,2.67%,310,48,2016-Nov-16
20,20,ACACIA AVE @ BEECHWOOD AVE,15011,4.47%,166,311,2016-Jun-08
21,21,ADAMSON CRES/BELL ST @ WEST RIDGE DR,3979,3.17%,65,32,2016-Jul-06
22,22,ADAMSON CRES/BELL ST @ WEST RIDGE DR,4118,5.53%,70,0,2016-Nov-22
23,23,AERO DR @ HOLLY ACRES RD,8119,2.30%,144,50,2016-Oct-26
24,24,ALBERT ST @ BOOTH ST,19930,16.83%,310,45,2016-Sep-01
25,25,ALBION RD @ BADEN AVE/MAASS GT,8218,2.31%,76,48,2016-Oct-05
26,26,ALBION RD @ FINDLAY CREEK DR,14902,3.29%,8,2,2016-Feb-02
27,27,ALBION RD @ FINDLAY CREEK DR,16929,4.61%,3,15,2016-Sep-28
28,28,ALBION RD @ HIGH RD,9398,4.25%,35,4,2016-Apr-26
29,29,ALBION RD @ LESTER RD,22211,3.19%,21,8,2016-Feb-10
30,30,ALBION RD @ SOUTHGATE RD/ROYAL OAK CRT,5598,5.43%,234,6,2016-Dec-07
31,31,ALBION RD/COLLISTON CRES E @ WALKLEY RD,22861,4.37%,604,3,2016-Dec-07
32,32,ALDERCREST DR @ VIEWMOUNT DR,4645,4.47%,35,2,2016-Feb-09
33,33,ALTA VISTA DR @ BANK ST,39280,3.05%,472,4,2016-Jan-20
34,34,ALTA VISTA DR @ CUNNINGHAM AVE,14192,3.06%,130,80,2016-Jun-02
35,35,AMBERWOOD CRES @ EDENBROOK CRT,736,8.02%,27,20,2016-Oct-19
36,36,AMBERWOOD CRES @ MERIVALE RD,16220,3.40%,5,1,2016-Jan-13
37,37,AMBERWOOD CRES @ MERIVALE RD,15524,3.84%,55,24,2016-Oct-19
38,38,AMIENS ST @ PRESTONE DR,3665,3.26%,69,31,2016-Oct-12
39,39,ANCASTER AVE @ BYRON AVE,640,2.05%,107,130,2016-Jul-26
40,40,ANDERSON RD @ RIDGE RD,8804,2.14%,0,4,2016-Jul-12
41,41,ANTHONY AVE @ WOODROFFE AVE,14785,2.28%,86,23,2016-Aug-25
42,42,AQUAVIEW DR @ BRIAN COBURN BLVD,11511,3.82%,247,38,2016-Jun-16
43,43,AQUAVIEW DR @ ESPRIT DR,4643,4.66%,238,21,2016-Oct-19
44,44,ARGYLE AVE N @ ELGIN ST,16184,2.85%,1366,427,2016-May-11
45,45,ARGYLE AVE S @ ELGIN ST,11682,2.99%,1845,408,2016-May-11
46,46,ARMSTRONG ST @ MERTON ST,1914,3.00%,465,250,2016-Jul-21
47,47,ARROWWOOD DR @ BAYWOOD DR,938,2.45%,62,22,2016-Jul-07
48,48,ARTHUR ST @ SOMERSET ST,10498,3.48%,2531,320,2016-Nov-16
49,49,ASSALY RD @ RICHMOND RD,15259,3.28%,365,87,2016-Aug-11
50,50,ATHLONE AVE @ SCOTT ST,8457,5.06%,1172,139,2016-Nov-16
51,51,AVIATION PKWY @ MONTREAL RD,43375,2.65%,719,3,2016-Feb-04
52,52,AVONCOURT WAY @ WALKLEY RD,17650,2.12%,57,11,2016-Nov-16
53,53,BANK ST @ CHAMBERLAIN AVE N/ISABELLA ST,25265,4.67%,1777,526,2016-Aug-03
54,54,BANK ST @ GLADSTONE AVE,21033,4.54%,5875,798,2016-Jul-27
55,55,BANK ST @ HERON RD,48211,3.27%,709,85,2016-Aug-03
56,56,BANK ST @ HUNT CLUB RD,49915,4.49%,831,18,2016-Aug-03
57,57,BANK ST @ NCC BIKE PATHWAY/680 N OF CONROY RD,14897,4.89%,0,0,2016-Jan-20
58,58,BANK ST @ SUNNYSIDE AVE,25662,3.28%,3373,64,2016-Mar-09
59,59,BANK ST @ WALKLEY RD,54840,2.96%,420,3,2016-Jan-20
60,60,BANKFIELD RD @ FIRST LINE RD,10644,9.38%,0,1,2016-Jun-28
61,61,BANKFIELD RD @ FIRST LINE RD,10957,9.97%,0,0,2016-Sep-14
62,62,BANKFIELD RD @ MANOTICK MAIN ST/RIDEAU VALLEY,15068,5.53%,2,2,2016-Mar-23
63,63,BANNER RD @ GREENBANK RD,33759,2.02%,491,1,2016-Mar-09
64,64,BANTON ST @ WALKLEY RD,28685,6.51%,112,10,2016-Nov-08
65,65,BARNSDALE RD @ RIDEAU VALLEY DR,10917,2.25%,3,28,2016-Jun-28
66,66,BASELINE RD @ 180 E OF CEDARVIEW RD,17481,2.76%,52,36,2016-Aug-11
67,67,BASELINE RD @ CENTREPOINTE DR W/COBDEN RD,30856,1.63%,225,80,2016-Jul-21
68,68,BASELINE RD @ CLYDE AVE,58963,2.01%,756,2,2016-Jan-20
69,69,BASELINE RD @ CLYDE AVE,59378,1.92%,785,51,2016-Oct-26
70,70,BASELINE RD @ FARLANE BLVD,38044,2.43%,108,34,2016-Oct-26
71,71,BASELINE RD @ FISHER AVE,45961,2.71%,334,229,2016-Aug-03
72,72,BASELINE RD @ GREENBANK RD,50878,2.02%,413,35,2016-Aug-11
73,73,BASELINE RD @ GUTHRIE ST,17770,2.32%,104,73,2016-Aug-03
74,74,BASELINE RD @ JOHN SUTHERLAND DR/VALLEY STREAM,24065,3.16%,215,15,2016-Mar-23
75,75,BASELINE RD @ LOBLAWS SC,37462,1.90%,1129,44,2016-Oct-26
76,76,BASELINE RD @ MERIVALE RD,57067,2.66%,758,6,2016-Feb-09
77,77,BASELINE RD @ MONTEREY DR,20048,2.64%,149,62,2016-Jul-20
78,78,BASELINE RD @ NAVAHO DR,32310,2.64%,1215,62,2016-Aug-10
79,79,BASELINE RD @ WOODROFFE AVE,61375,2.41%,371,78,2016-Aug-10
80,80,BASELINE RD/HERON RD @ PRINCE OF WALES DR,62072,2.85%,192,3,2016-Jan-19
81,81,BASSWOOD AVE @ CARLETON CATHCART ST,600,1.37%,19,54,2016-Jul-05
82,82,BAY ST @ SOMERSET ST,9974,3.57%,1953,618,2016-Apr-28
